# 数据由 ./gen-多音字.py 生成;
#
# 格式:
#   三简码 该三简码的所有字 如果一简码首选或二简码是多音字
# 我们直接在该行上修改.


lim 李粒栎骊㰀朸枥粝
lix 栗悝
liz 逦跞
lkm 棱棂柃
llc 莨𬜯
llr 俩俍倞
lnd 潦漻鹩
lnv 了簝 了:['le', 'levl', 'lnv', 'lnvl']
lod 洛泺漯
lof 摞捋攞
lok 咯啰
los 罗络
loz 逻跞
lqu 硫馏碌
lsd 泷漋
lsw 珑弄 弄:['lsw', 'lswc', 'ns', 'nsw', 'nswc']
luc 芦菉蕗蓼
lue 陆录
lvf 旅捋膂
lvr 侣偻
mag 麻摩
map 么祃 么:['maps', 'me', 'mep', 'meps', 'ycps']
mbw 忞玟珉
mco 冒昴眊
mfw 亹𫞩
mgu 尨礞
mhu 尨硭
mhw 盲氓邙
mib 密蜜幂宓
mid 泌汨洣
mig 弥靡糜弭麋縻
mjc 蔓颟𬜬
mjt 埋墁
mmd 免勉沔湎渑
mmk 冕黾
mns 缈缪
moa 无万 无:['moay', 'wu', 'wuay']
mof 摸抹
mog 磨摩魔靺麽
moo 膜脉冒
mov 貉貘貊
mpv 篾乜
mum 模毪
mun 牧姆牡姥
mwg 魅糜
mzk 哞呣
mzs 牟缪鍪
nak 哪呐嗱
nde 耐耏
nek 哪呐
nik 匿呢 呢:['ne', 'nekb', 'nikb']
nqf 扭拗
omk 呒呣
ook 噢嚄
ouk 呕鸥殴瓯区 区:['oukx', 'qu', 'quk', 'qukx']
pcb 刨疱
pgf 捧抨搒
phi 螃彷
pho 胖膀膖
pib 疲癖痞丕邳否 否:['fz', 'fzb', 'fzbk', 'pibk']
pic 芘苉
pie 陂陴
pik 匹啤噼吡
pip 裨邳郫
piu 辟劈屁譬砒鼙䴙嚭甓
pjo 盼胖
pjp 番袢襻
pkd 冯泙洴涄
pmh 翩扁
pmr 偏便
pnm 骠朴
pod 泼婆泊
pom 朴粕
pop 鄱繁
pud 浦瀑溥濮潽
pum 朴氆
puo 脯曝暴
pur 仆堡
put 埔墣
qbd 沁溱
qbx 覃慬
qic 荠葺芪萋蕲䓫芑萁
qid 奇汽漆凄泣沏淇欹柒汔洓
qif 旗契
qih 启稽棨綮
qil 亟耆
qim 骑棋栖杞槭桤骐
qiq 期欺憩綦
qir 企俟
qit 起畦圻埼
qiu 砌碛呇碶磜𨙸
qiz 迄蹊跂踦
qkh 黥綮
qkr 倾倩
qmc 茜芊荨芡蒨
qmr 倩佥仟伣
qms 纤缱𬘬
qmu 乾磏
qmx 悭慊
qne 峭峤
qng 巧鞘鞒
qnu 壳雀硗硚
qpx 怯惬慊郄
qqd 泅龟湫
qqr 俅仇
qrj 拳券铨
qtu 确雀悫碏
quc 苣䓛蕖蘧
quh 觑黢焌
sad 洒挲潵
scm 梢骚
scs 缫缲
sir 似伺俟偲食
soc 蓑莎
sod 娑挲溹
ssx 悚忪
sub 塑宿窣
svu 碎尿
tad 溚溻漯
taf 拓挞
tau 沓鿎
tcf 掏焘
tck 啕饕叨
thr 倘傥
tht 塘趟埫
thx 堂棠惝䣘劏
tic 荑薙
tif 提擿
tip 䴘裼
tir 倜俶
tjd 滩潭澹
tjj 钽锬镡
tjk 叹啴
tjx 覃惔
tkt 町圢
tmw 兲瑱
tof 拖拓
tom 驼椭驮柁柝
tse 峒峂
tsh 烔穜
tsr 佟侗僮仝
tya 屯鲀
uad 沙煞鲨裟挲
uak 嗄唼
uax 杀刹
ucc 芍苕
ucd 召邵劭潲
ucm 梢杓柖
uef 摄折
uei 蛇厍
uer 舍佘畲歙畬
ufc 莘葚
ufm 糁棽椹𬳽
ufr 什伸侁
ufs 参绅 参:['cfs', 'cfsp', 'cj', 'cjsp', 'ufsp']
ufy 诜谌谂
ugd 渑湦
ugo 胜昇晟琞
ugq 剩乘
uhd 殇觞汤 汤:['th', 'thdp', 'uhdp']
uht 墒垧埫
uhx 尚赏裳
uia 十世石豕䴓鲥鲺𫚕
uid 湿殖奭浉湜
uie 示峙
uik 嗜噬嘘
uio 时匙䏡昰
uip 失视释氏矢祏襫
uir 使食侍仕什似
uiy 式识试诗谥酾𬤊
uiz 适逝
ujb 单疝
ujf 擅掸掺掞
ujh 扇煽剡
ujm 闪杉栅骟
ujo 膳膻晱
ujp 衫禅
ukw 衰率
uld 爽泷漴
uum 术树枢梳
uuu 属叔
uuw 熟塾戍孰
uvy 谁说 说:['uo', 'uoy', 'uoye', 'uvye', 'yty', 'ytye'] 谁:['uvy', 'uvyf', 'uw', 'uwyf']
vai 轧蚱
vak 喳咤吒咋喋哳 咋:['vakv', 'za', 'zakv', 'zekv']
